How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Same,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Current rule is enough
Lower,"Yes, comparable",Lower,Better,Better,Same,Better,Better,Better,Better,Better,Inferior,Inferior,Inferior,Same,Inferior,Same,Better,Same,Better,Inferior,Going easy on permissions for students to visit their parents or relatives is necessary. It is good for their mental health especially when they are too far from their house
Higher,"Yes, comparable",Higher,Better,Better,Better,Better,Better,Same,Better,Same,Better,Better,Better,Better,Better,Same,Same,Better,Better,Better,Continue the sams
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Same,Same,Inferior,Same,Inferior,Inferior,Better,Better,Same,Better,Same,"1. More permissions for each semester. 
2. Given the consistent increase in summer weather year-on-year, better rooms with AC facility option is required.
3. Organised room allocation process.
"
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Better,Same,Better,Inferior,Better,Same,Inferior,Same,Better,Same,Inferior,Better,Better,Better,Take action for insect bite and change the toilets and infrastructure of room
Same,"No, hostel is better",Same,Better,Same,Better,Same,Better,Better,Same,Same,Better,Same,Same,Same,Better,Better,Better,Better,Same,Better,Permission per semester can be increased
Lower,"Yes, comparable",Lower,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Limiting permissions 
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Better,Inferior,Better,Inferior,Better,Inferior,Better,Better,Same,Better,Food Costs should be reasonable based on the quality of the food
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Same,Same,Outing restrictions should be removed 
Lower,"Yes, comparable",Higher,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,"More permission per semester
Extended time limit for IN and OUT time
Changing rooms per  semester can be  implemented"
